
 ===================new run===================== 
Planetary albedo for an optical thickness of 2.100 and an cos(SZA) of 0.50: 0.310993 
rdir 0.239544, sdir 0.227865, and tdir 0.532592 
sum: 1.000000 
solar irradiance: 234.434686 
layer,player,Tlayer,theta,time
0,25.000000,221.393000,635.177801,0.000000
1,75.000000,221.393000,464.060873,0.000000
2,125.000000,221.393000,401.041758,0.000000
3,175.000000,221.393000,364.282852,0.000000
4,225.000000,221.393000,339.042853,0.000000
5,275.000000,225.299500,325.799855,0.000000
6,325.000000,232.616500,320.702550,0.000000
7,375.000000,239.063000,316.386335,0.000000
8,425.000000,244.842000,312.651495,0.000000
9,475.000000,250.091000,309.365099,0.000000
10,525.000000,254.908000,306.434706,0.000000
11,575.000000,259.365500,303.793542,0.000000
12,625.000000,263.518000,301.391001,0.000000
13,675.000000,267.409000,299.189516,0.000000
14,725.000000,271.073000,297.159548,0.000000
15,775.000000,274.537000,295.276557,0.000000
16,825.000000,277.824000,293.521596,0.000000
17,875.000000,280.953500,291.879487,0.000000
18,925.000000,283.941500,290.337186,0.000000
19,975.000000,286.801000,288.883142,0.000000
0,25.000000,217.274176,623.360870,63.441780
1,75.000000,219.809524,460.741756,63.441780
2,125.000000,220.225831,398.927493,63.441780
3,175.000000,219.776683,361.623344,63.441780
4,225.000000,219.535705,336.198578,63.441780
5,275.000000,222.711981,322.058110,63.441780
6,325.000000,228.483530,315.004528,63.441780
7,375.000000,234.896536,310.872256,63.441780
8,425.000000,240.699988,307.362344,63.441780
9,475.000000,246.045523,304.360803,63.441780
10,525.000000,250.884218,301.597562,63.441780
11,575.000000,256.185786,300.069159,63.441780
12,625.000000,261.801452,299.427750,63.441780
13,675.000000,267.370651,299.146609,63.441780
14,725.000000,272.195025,298.389550,63.441780
15,775.000000,276.755166,297.662292,63.441780
16,825.000000,281.283083,297.176124,63.441780
17,875.000000,285.530755,296.634746,63.441780
18,925.000000,289.449749,295.969506,63.441780
19,975.000000,293.161036,295.289352,63.441780
0,25.000000,213.411287,612.278219,134.116013
1,75.000000,218.074005,457.103942,134.116013
2,125.000000,218.885830,396.500151,134.116013
3,175.000000,218.045980,358.775624,134.116013
4,225.000000,217.431035,332.975471,134.116013
5,275.000000,219.814041,317.867473,134.116013
6,325.000000,224.565756,309.603191,134.116013
7,375.000000,230.831644,305.492601,134.116013
8,425.000000,236.843486,302.437776,134.116013
9,475.000000,243.922415,301.734497,134.116013
10,525.000000,250.544358,301.189004,134.116013
11,575.000000,256.662740,300.627812,134.116013
12,625.000000,262.405890,300.119058,134.116013
13,675.000000,267.915108,299.755772,134.116013
14,725.000000,272.984497,299.254997,134.116013
15,775.000000,277.721853,298.702006,134.116013
16,825.000000,282.248315,298.195893,134.116013
17,875.000000,286.569537,297.713926,134.116013
18,925.000000,290.727507,297.276045,134.116013
19,975.000000,294.643163,296.782239,134.116013
0,25.000000,210.015677,602.536195,206.817307
1,75.000000,216.306197,453.398449,206.817307
2,125.000000,217.457555,393.912906,206.817307
3,175.000000,216.299544,355.902016,206.817307
4,225.000000,215.267304,329.661918,206.817307
5,275.000000,216.971381,313.756775,206.817307
6,325.000000,221.165258,304.915009,206.817307
7,375.000000,228.204597,302.015853,206.817307
8,425.000000,236.210958,301.630068,206.817307
9,475.000000,243.523026,301.240449,206.817307
10,525.000000,250.409349,301.026705,206.817307
11,575.000000,256.612053,300.568442,206.817307
12,625.000000,262.363223,300.070259,206.817307
13,675.000000,267.724181,299.542155,206.817307
14,725.000000,272.779460,299.030229,206.817307
15,775.000000,277.603775,298.575008,206.817307
16,825.000000,282.250201,298.197886,206.817307
17,875.000000,286.690544,297.839639,206.817307
18,925.000000,290.908905,297.461529,206.817307
19,975.000000,294.859825,297.000474,206.817307
0,25.000000,207.052434,594.034635,279.845398
1,75.000000,214.566256,449.751366,279.845398
2,125.000000,215.993363,391.260600,279.845398
3,175.000000,214.577582,353.068678,279.845398
4,225.000000,213.155704,326.428199,279.845398
5,275.000000,214.391748,310.026433,279.845398
6,325.000000,218.867884,301.747678,279.845398
7,375.000000,227.844082,301.538733,279.845398
8,425.000000,235.986064,301.342889,279.845398
9,475.000000,243.250314,300.903101,279.845398
10,525.000000,249.928646,300.448833,279.845398
11,575.000000,256.102602,299.971725,279.845398
12,625.000000,261.863234,299.498410,279.845398
13,675.000000,267.273504,299.037916,279.845398
14,725.000000,272.388118,298.601225,279.845398
15,775.000000,277.241773,298.185659,279.845398
16,825.000000,281.863671,297.789516,279.845398
17,875.000000,286.249743,297.381696,279.845398
18,925.000000,290.465668,297.008308,279.845398
19,975.000000,294.488585,296.626538,279.845398
0,25.000000,204.457553,586.589905,352.325806
1,75.000000,212.888860,446.235382,352.325806
2,125.000000,214.532425,388.614188,352.325806
3,175.000000,212.911270,350.326906,352.325806
4,225.000000,211.181319,323.404610,352.325806
5,275.000000,212.314370,307.022390,352.325806
6,325.000000,218.542584,301.299195,352.325806
7,375.000000,227.424840,300.983890,352.325806
8,425.000000,235.375182,300.562823,352.325806
9,475.000000,242.629838,300.135567,352.325806
10,525.000000,249.318178,299.714966,352.325806
11,575.000000,255.503935,299.270510,352.325806
12,625.000000,261.266005,298.815347,352.325806
13,675.000000,266.668928,298.361489,352.325806
