layer, player, Tlayer, theta, time
0, 25.000000, 180.000000, 516.421044, 0.000000 
1, 75.000000, 185.000000, 387.777669, 0.000000 
2, 125.000000, 190.000000, 344.174992, 0.000000 
3, 175.000000, 195.000000, 320.855475, 0.000000 
4, 225.000000, 200.000000, 306.281457, 0.000000 
5, 275.000000, 205.000000, 296.445266, 0.000000 
6, 325.000000, 210.000000, 289.521748, 0.000000 
7, 375.000000, 215.000000, 284.540318, 0.000000 
8, 425.000000, 220.000000, 280.929452, 0.000000 
9, 475.000000, 225.000000, 278.327278, 0.000000 
10, 525.000000, 230.419775, 276.996469, 0.000000 
11, 575.000000, 236.056515, 276.491841, 0.000000 
12, 625.000000, 241.389047, 276.081658, 0.000000 
13, 675.000000, 246.062057, 275.305572, 0.000000 
14, 725.000000, 251.090780, 275.254351, 0.000000 
15, 775.000000, 255.396866, 274.690505, 0.000000 
16, 825.000000, 259.813035, 274.492977, 0.000000 
17, 875.000000, 263.997089, 274.263659, 0.000000 
18, 925.000000, 268.078907, 274.117293, 0.000000 
19, 975.000000, 272.083307, 274.058600, 0.000000 
0, 25.000000, 179.238020, 514.234920, 27.959934 
1, 75.000000, 185.019414, 387.818364, 27.959934 
2, 125.000000, 189.892937, 343.981053, 27.959934 
3, 175.000000, 194.570922, 320.149465, 27.959934 
4, 225.000000, 199.188493, 305.038710, 27.959934 
5, 275.000000, 203.859396, 294.795868, 27.959934 
6, 325.000000, 208.697787, 287.726419, 27.959934 
7, 375.000000, 213.820291, 282.979040, 27.959934 
8, 425.000000, 219.123387, 279.810060, 27.959934 
9, 475.000000, 225.617599, 279.091255, 27.959934 
10, 525.000000, 231.934366, 278.817218, 27.959934 
11, 575.000000, 237.833109, 278.572757, 27.959934 
12, 625.000000, 243.388520, 278.368498, 27.959934 
13, 675.000000, 248.472032, 278.001963, 27.959934 
14, 725.000000, 252.735924, 277.057815, 27.959934 
15, 775.000000, 256.609075, 275.994290, 27.959934 
16, 825.000000, 260.676515, 275.405245, 27.959934 
17, 875.000000, 264.661001, 274.953390, 27.959934 
18, 925.000000, 268.435136, 274.481547, 27.959934 
19, 975.000000, 272.241540, 274.217982, 27.959934 
0, 25.000000, 178.547701, 512.254389, 54.840450 
1, 75.000000, 185.001775, 387.781390, 54.840450 
2, 125.000000, 189.770073, 343.758491, 54.840450 
3, 175.000000, 194.149572, 319.456171, 54.840450 
4, 225.000000, 198.418884, 303.860124, 54.840450 
5, 275.000000, 202.803809, 293.269411, 54.840450 
6, 325.000000, 207.526448, 286.111523, 54.840450 
7, 375.000000, 212.807645, 281.638859, 54.840450 
8, 425.000000, 219.581629, 280.395212, 54.840450 
9, 475.000000, 226.139832, 279.737262, 54.840450 
10, 525.000000, 232.271490, 279.222487, 54.840450 
11, 575.000000, 238.052554, 278.829793, 54.840450 
12, 625.000000, 243.615465, 278.628059, 54.840450 
13, 675.000000, 248.729461, 278.289986, 54.840450 
14, 725.000000, 253.537657, 277.936701, 54.840450 
15, 775.000000, 258.155896, 277.657963, 54.840450 
16, 825.000000, 262.588375, 277.425128, 54.840450 
17, 875.000000, 266.803852, 277.179574, 54.840450 
18, 925.000000, 270.649091, 276.745370, 54.840450 
19, 975.000000, 274.013052, 276.002355, 54.840450 
0, 25.000000, 177.890963, 510.370205, 82.600471 
1, 75.000000, 184.969266, 387.713249, 82.600471 
2, 125.000000, 189.638492, 343.520140, 82.600471 
3, 175.000000, 193.719584, 318.748663, 82.600471 
4, 225.000000, 197.648238, 302.679952, 82.600471 
5, 275.000000, 201.770694, 291.775450, 82.600471 
6, 325.000000, 206.459918, 284.641125, 82.600471 
7, 375.000000, 213.024857, 281.926327, 82.600471 
8, 425.000000, 220.562764, 281.648075, 82.600471 
9, 475.000000, 227.401117, 281.297484, 82.600471 
10, 525.000000, 233.603768, 280.824069, 82.600471 
11, 575.000000, 239.405398, 280.414372, 82.600471 
12, 625.000000, 244.744980, 279.919909, 82.600471 
13, 675.000000, 249.500966, 279.153181, 82.600471 
14, 725.000000, 254.077974, 278.529015, 82.600471 
15, 775.000000, 258.526182, 278.056222, 82.600471 
16, 825.000000, 262.866517, 277.718986, 82.600471 
17, 875.000000, 267.103097, 277.490457, 82.600471 
18, 925.000000, 271.122346, 277.229285, 82.600471 
19, 975.000000, 274.959149, 276.955321, 82.600471 
0, 25.000000, 177.273453, 508.598565, 110.694496 
1, 75.000000, 184.918146, 387.606095, 110.694496 
2, 125.000000, 189.496723, 343.263333, 110.694496 
3, 175.000000, 193.287908, 318.038377, 110.694496 
